Date,Adj Close
19/08/2019,26.94434
20/08/2019,26.400906
21/08/2019,26.608398
22/08/2019,26.865294
23/08/2019,26.153891
26/08/2019,26.460192
27/08/2019,26.153891
28/08/2019,26.529356
29/08/2019,27.003622
30/08/2019,27.181473
03/09/2019,26.726965
04/09/2019,27.161713
05/09/2019,27.967314
06/09/2019,27.57943
09/09/2019,28.474543
10/09/2019,29.190634
11/09/2019,29.300035
12/09/2019,29.508896
13/09/2019,30.006182
16/09/2019,29.966398
17/09/2019,29.77743
18/09/2019,29.837105
19/09/2019,29.658081
20/09/2019,29.429331
23/09/2019,29.359711
24/09/2019,28.78286
25/09/2019,29.091177
26/09/2019,28.971827
27/09/2019,29.190634
30/09/2019,29.01161
01/10/2019,28.285576
02/10/2019,27.688833
03/10/2019,27.658995
04/10/2019,28.215956
07/10/2019,28.156281
08/10/2019,27.479973
09/10/2019,27.73856
10/10/2019,28.295521
11/10/2019,28.753023
14/10/2019,28.981773
15/10/2019,29.568569
16/10/2019,30.006182
17/10/2019,30.095692
18/10/2019,30.185204
21/10/2019,30.851566
22/10/2019,31.030588
23/10/2019,31.249393
24/10/2019,31.18972
25/10/2019,31.547764
28/10/2019,31.667112
29/10/2019,31.895864
30/10/2019,31.448309
31/10/2019,31.100208
01/11/2019,31.627329
04/11/2019,32.224075
05/11/2019,32.641792
06/11/2019,32.611958
07/11/2019,33.049564
08/11/2019,33.079403
11/11/2019,32.999836
12/11/2019,32.910324
13/11/2019,32.611958
14/11/2019,32.522446
15/11/2019,32.751194
18/11/2019,32.781033
19/11/2019,32.761139
20/11/2019,32.512497
21/11/2019,32.661682
22/11/2019,32.999836
25/11/2019,33.288265
26/11/2019,33.168911
27/11/2019,33.238533
29/11/2019,33.139076
02/12/2019,33.248482
03/12/2019,32.661682
04/12/2019,32.970001
05/12/2019,33.09
06/12/2019,33.669998
09/12/2019,33.509998
10/12/2019,33.529999
11/12/2019,33.639999
12/12/2019,34.68
13/12/2019,34.439999
16/12/2019,34.700001
17/12/2019,35.040001
18/12/2019,35.110001
19/12/2019,34.950001
20/12/2019,34.959999
23/12/2019,35.169998
24/12/2019,35.220001
26/12/2019,35.52
27/12/2019,35.349998
30/12/2019,35.150002
31/12/2019,35.220001
02/01/2020,35.639999
03/01/2020,34.900002
06/01/2020,34.849998
07/01/2020,34.619999
08/01/2020,34.970001
09/01/2020,35.029999
10/01/2020,34.740002
13/01/2020,35.060001
14/01/2020,35.32
15/01/2020,34.669998
16/01/2020,34.720001
17/01/2020,34.709999
21/01/2020,34.259998
22/01/2020,34.360001
23/01/2020,34.119999
24/01/2020,33.540001
27/01/2020,32.849998
28/01/2020,33.240002
29/01/2020,33.009998
30/01/2020,33.48
31/01/2020,32.830002
03/02/2020,32.970001
04/02/2020,33.619999
05/02/2020,34.709999
06/02/2020,34.669998
07/02/2020,34.610001
10/02/2020,34.689999
11/02/2020,34.77
12/02/2020,34.919998
13/02/2020,34.91
14/02/2020,34.849998
18/02/2020,34.27
19/02/2020,34.720001
20/02/2020,34.849998
21/02/2020,34.360001
24/02/2020,32.73
25/02/2020,31.08
26/02/2020,30.629999
27/02/2020,29.129999
28/02/2020,28.5
02/03/2020,29.370001
03/03/2020,27.75
